,Metric,Condition,U_Statistic,P_Value,Median_Recovered,Median_Non_Recovered,File_Count_Recovered,File_Count_Non_Recovered,Mean_Recovered,Mean_Non_Recovered,Std_Recovered,Std_Non_Recovered,Corrected_P_Value,Significance,Corrected Significance
35,Absolute Alpha Power,Dex_mix,278.0,0.2793912339308202,0.013849636611004825,0.012667729411366627,33,14,0.02550006444114646,0.01527391761690503,0.03161904051274902,0.012146152921598137,1.0,ns,ns
38,Absolute Beta Power,Dex_mix,335.0,0.016056537145532117,0.01774611563456619,0.007396065647397091,33,14,0.02295748977338688,0.009782515920873156,0.03334909433682985,0.00765070136435331,0.6743745601123489,*,ns
29,Absolute Delta Power,Dex_mix,166.0,0.13350932082406233,0.3543048588973269,0.44443252361728847,33,14,0.38210840733742857,0.402915441689344,0.10230583934155621,0.1149771141615959,1.0,ns,ns
41,Absolute Gamma Power,Dex_mix,271.0,0.35817238370163296,0.002150673489382013,0.001794126593647295,33,14,0.0024541903163054946,0.0019400183059057434,0.0016632791740162525,0.00142801521367509,1.0,ns,ns
32,Absolute Theta Power,Dex_mix,194.0,0.39584409962657907,0.03802802205792262,0.061009619581386836,33,14,0.052038094351150345,0.05186273118984063,0.04354001544581486,0.03055962715662593,1.0,ns,ns
8,Conditional Weighted Permutation Entropy,Dex_mix,222.0,0.8432579637495998,0.08111956321820749,0.07641526815607003,33,14,0.08274366919811975,0.08785118908742919,0.017567243949397612,0.022210918248519236,1.0,ns,ns
20,Detrended Fluctuation Analysis Alpha,Dex_mix,201.0,0.4925667553899551,0.6263351760220742,0.6385635840915115,33,14,0.5944565713560062,0.6266559229916272,0.12195769765566904,0.13648761062718132,1.0,ns,ns
17,Higuchi Fractal Dimension,Dex_mix,225.0,0.8981952061880719,1.8968173780365092,1.9073832770479588,33,14,1.9013751512776744,1.8891384508591105,0.03141385266996968,0.04412266306237149,1.0,ns,ns
11,Lempel-Ziv Complexity,Dex_mix,312.0,0.06083951902390479,0.1945293352808624,0.16579204711437134,33,14,0.19921840328005674,0.1585287764788846,0.06336774945894036,0.037388281361621166,1.0,ns,ns
14,Lyapunov Exponent,Dex_mix,137.0,0.02962960368270701,0.0014333709032340952,0.0018288951626332299,33,14,0.001572377603773605,0.0018591974268377827,0.000791966995325169,0.00045806526847354555,1.0,*,ns
5,Permutation Entropy,Dex_mix,214.0,0.7011083524702635,0.8417942160172305,0.8504890046981228,33,14,0.8492342897518395,0.8521593431637173,0.03958528133794163,0.022575144741989957,1.0,ns,ns
2,Sample Entropy,Dex_mix,199.0,0.4637070693584049,0.12403846300386079,0.15946476406476284,33,14,0.13002147040681092,0.13970011949152297,0.06900942255200374,0.057709964889736155,1.0,ns,ns
26,Spectral Slope,Dex_mix,177.0,0.2133072753625298,2.2978830945857425,2.3923054205561716,33,14,2.269957511825592,2.423975095378427,0.3185201862865335,0.3456719172667529,1.0,ns,ns
