,Metric,Etiology,U_Statistic,P_Value,Median_Recovered,Median_Non_Recovered,Mean_Recovered,Mean_Non_Recovered,Std_Recovered,Std_Non_Recovered,Count_Recovered,Count_Non_Recovered,Corrected_P_Value,Significance,Corrected_Significance
33,Absolute Alpha Power,Acute Brain Injury,26.0,0.41731797614150556,0.01144734595276801,0.02690994880387015,0.011197223699021784,0.03850779093110211,0.004983149981825214,0.044444842190376734,10,7,1.0,ns,ns
36,Absolute Beta Power,Acute Brain Injury,24.0,0.31478815302344715,0.019172047055572676,0.060265730251033524,0.016649015203056606,0.05147170773120041,0.009359371108791866,0.04605496582899711,10,7,1.0,ns,ns
27,Absolute Delta Power,Acute Brain Injury,32.0,0.8125257095845331,0.296660550788284,0.2923594554844165,0.28855372707088106,0.30559742843460863,0.058870229982606825,0.0891848950311382,10,7,1.0,ns,ns
39,Absolute Gamma Power,Acute Brain Injury,21.0,0.19323323735088443,0.003662268599698497,0.02329064787202831,0.0032991683405978857,0.02286948229766251,0.0025360281169232233,0.02278401721190969,10,7,1.0,ns,ns
30,Absolute Theta Power,Acute Brain Injury,18.0,0.10880296174413821,0.01778822742052084,0.03012662952382661,0.017978738112440627,0.03266191098954832,0.010464146210186407,0.021533166361380533,10,7,1.0,ns,ns
6,Conditional Weighted Permutation Entropy,Acute Brain Injury,38.0,0.8125257095845331,0.08900692303542782,0.1164816553455876,0.10337470528515849,0.10763911543473258,0.02521827077267837,0.023477974405792593,10,7,1.0,ns,ns
18,Detrended Fluctuation Analysis Alpha,Acute Brain Injury,60.0,0.013574660633484163,0.7053903370666113,0.6334650318791886,0.7051986877463741,0.6370584087493008,0.041041252986953984,0.05123494920010752,10,7,0.5701357466063348,*,ns
15,Higuchi Fractal Dimension,Acute Brain Injury,18.0,0.10880296174413821,1.8918442099678583,1.9361527745285656,1.8812877461199378,1.9153696617906852,0.022130873581972806,0.04141965683543406,10,7,1.0,ns,ns
9,Lempel-Ziv Complexity,Acute Brain Injury,24.0,0.3052105562810218,0.24095110847288637,0.44211212563832364,0.22326662344735343,0.34547904674880436,0.055660494396272873,0.16696057888557958,10,7,1.0,ns,ns
12,Lyapunov Exponent,Acute Brain Injury,15.0,0.055327025915261216,0.0014451938930735739,0.003404903297169962,0.0013329542865905357,0.003110637853766652,0.0006820902422216667,0.001788270534212891,10,7,1.0,ns,ns
3,Permutation Entropy,Acute Brain Injury,22.0,0.2295351707116413,0.8594742667433324,0.8954833029134048,0.8635313730295074,0.8831157032952601,0.021505458809005017,0.056528257846433644,10,7,1.0,ns,ns
